****************************************
** Coordinates                        **
****************************************
*******************************
** Non-Development Zones     **
*******************************
C    4007, 462586.00, 301449.00
C    4008, 461634.00, 301025.00
C    4009, 459920.00, 299879.00
C    4010, 460749.00, 299860.00
C    4011, 462704.00, 300898.00
C    4012, 461770.00, 300656.00
C    4013, 462095.00, 300990.00
C    4014, 462498.00, 301226.00
C    4015, 458732.00, 299308.00
C    4016, 462251.00, 300587.00
C    4017, 461822.00, 300281.00
C    4018, 459499.00, 299340.00
C    4019, 459753.00, 298720.00
C    4020, 459667.00, 299341.00
C    4021, 459808.00, 299262.00
C    4022, 460367.00, 299445.00
C    4023, 459017.00, 299125.00
C    4024, 459868.00, 299357.00
C    4025, 460612.00, 299353.00
C    4026, 461394.00, 299450.00
C    4027, 458707.00, 298863.00
C    4028, 460745.00, 299205.00
C    4029, 463392.00, 300736.00
C    4030, 459823.00, 299099.00
C    4031, 460060.00, 298940.00
C    4032, 460403.00, 299222.00
C    4033, 462852.00, 299527.00
C    4034, 458306.00, 298754.00
C    4035, 459736.00, 298947.00
C    4036, 461327.00, 298813.00
C    4037, 460495.00, 298868.00
C    4038, 459215.00, 298269.00
C    4039, 460240.00, 298241.00
C    4040, 458825.00, 298125.00
C    4041, 458448.00, 298424.00
C    4042, 463035.00, 299867.00
C    4043, 463463.00, 299980.00
C    4044, 460611.00, 298132.00
C    4045, 461227.00, 297663.00
C    4046, 464016.00, 299710.00
C    4047, 461236.00, 298096.00
C    4048, 461392.00, 297634.00
C    5001, 455060.00, 299544.00
C    5002, 452634.00, 302150.00
C    5003, 453282.00, 301325.00
C    5004, 454345.60, 300336.90
C    5005, 455896.00, 302364.00
C    5006, 456502.00, 301560.00
C    5007, 455398.00, 302658.00
C    5008, 455899.00, 301546.00
C    5009, 454862.00, 306057.00
C    5010, 454610.00, 305786.00
C    5011, 454375.00, 305441.00
C    5012, 454863.00, 306420.00
C    5013, 454439.00, 303226.00
C    5014, 455167.00, 302122.00
C    5015, 455454.00, 301713.00
C    5016, 454531.00, 302555.00
C    5017, 454931.00, 306976.00
C    5018, 455417.00, 301070.00
C    5019, 455642.00, 300234.00
C    5020, 454725.00, 301589.00
C    5021, 454748.00, 307107.00
C    5022, 454098.00, 305432.00
C    5023, 454503.00, 306700.00
C    5024, 453975.00, 303251.00
C    5025, 454144.00, 306147.00
C    5026, 453126.00, 303130.00
C    5027, 455323.00, 299656.00
C    5028, 456726.00, 299197.00
C    5029, 453608.00, 303868.00
C    5030, 453873.00, 302672.00
C    5031, 455320.00, 300382.00
C    5032, 458113.00, 298745.00
C    5033, 453265.00, 305606.00
C    5034, 454905.00, 300115.00
C    5035, 453133.20, 300192.30
C    5036, 454211.00, 307363.00
C    5037, 452383.00, 303393.00
C    5038, 455174.00, 300050.00
C    5039, 453102.00, 306033.00
C    5040, 453749.00, 307030.00
C    5041, 452707.00, 302754.00
C    5042, 451962.00, 304404.00
C    5043, 458099.00, 298202.00
C    5044, 455137.00, 298987.00
C    5045, 454783.00, 298857.00
C    5046, 456315.00, 298607.00
C    5047, 457147.00, 298494.00
C    5048, 453619.00, 299894.00
C    5049, 456715.00, 297934.00
C    5050, 454156.00, 299199.00
C    5051, 455570.00, 297673.00
C    5052, 455194.00, 298767.00
C    5053, 454666.00, 298530.00
C    5054, 452137.00, 301044.00
C    5055, 456520.00, 297399.00
C    5056, 453546.00, 299162.00
C    5057, 461975.00, 295368.00
C    5058, 452737.00, 300201.00
C    5059, 456877.00, 296889.00
C    5060, 454245.00, 298443.00
C    5061, 451041.00, 303887.00
C    5062, 455948.00, 296837.00
C    5063, 454033.00, 297482.00
C    5064, 452903.00, 298393.00
C    5065, 453181.00, 298983.00
C    5066, 458715.00, 295439.00
C    5067, 454079.00, 298193.00
